TransactionID,Date,CustomerID,Gender,Age,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,Branch,PaymentMethod
5001,2023-01-01 00:00:00,3366,Female,66,Snacks,Cookies,6,47.13,282.78000000000003,A,Bank Transfer
5002,2023-01-01 01:00:00,3383,Male,48,Beverage,Soft Drink,8,24.68,197.44,C,Bank Transfer
5003,2023-01-01 02:00:00,3323,Female,54,Dairy,Cheese,10,60.18,601.8,A,Credit Card
5004,2023-01-01 03:00:00,3477,Male,29,Electronics,USB Cable,8,107.79,862.32,C,Credit Card
5005,2023-01-01 04:00:00,3099,Male,48,Beverage,Mineral Water,3,118.46,355.38,C,Credit Card
5006,2023-01-01 05:00:00,3231,,63,Household,Detergent,4,92.16,368.64,A,Cash
5007,2023-01-01 06:00:00,3018,Male,55,Personal Care,Soap,7,117.63,823.41,C,E-Wallet
5008,2023-01-01 07:00:00,3084,Male,68,Household,Detergent,10,75.65,756.5,D,Credit Card
5009,2023-01-01 08:00:00,3107,,59,Dairy,Butter,1,23.84,23.84,B,E-Wallet
5010,2023-01-01 09:00:00,3124,Female,60,Electronics,Earphones,9,104.46,940.14,D,Bank Transfer
5011,2023-01-01 10:00:00,3058,Male,52,Beverage,Soft Drink,9,102.59,923.3100000000001,A,Cash
5012,2023-01-01 11:00:00,3215,Male,54,Dairy,Butter,4,55.57,222.28,D,E-Wallet
5013,2023-01-01 12:00:00,3226,Male,31,Household,Dish Soap,11,71.42,785.62,B,Credit Card
5014,2023-01-01 13:00:00,3097,Female,66,Dairy,Milk,6,65.85,395.09999999999997,A,Credit Card
5015,2023-01-01 14:00:00,3114,Male,49,Dairy,Cheese,3,73.26,219.78000000000003,A,E-Wallet
5016,2023-01-01 15:00:00,3127,Male,21,Produce,Carrots,4,88.15,352.6,D,E-Wallet
5017,2023-01-01 16:00:00,3048,Male,67,Produce,Carrots,11,86.41,950.51,A,E-Wallet
5018,2023-01-01 17:00:00,3074,Male,20,Electronics,Phone Case,4,98.28,393.12,B,E-Wallet
5019,2023-01-01 18:00:00,3033,Female,44,Electronics,Phone Case,11,21.11,232.20999999999998,C,Credit Card
5020,2023-01-01 19:00:00,3431,Female,40,Household,Cleaner,3,66.37,199.11,A,Cash
5021,2023-01-01 20:00:00,3225,Female,41,,,10,14.38,143.8,C,Credit Card
5022,2023-01-01 21:00:00,3112,Female,59,Household,Tissue,4,83.3,333.2,D,Bank Transfer
5023,2023-01-01 22:00:00,3410,Female,52,Electronics,USB Cable,11,100.76,1108.3600000000001,C,Bank Transfer
5024,2023-01-01 23:00:00,3340,Female,24,Dairy,Cheese,1,81.29,81.29,A,Cash
5025,2023-01-02 00:00:00,3335,Male,23,Snacks,Nuts,3,74.1,222.29999999999998,C,Bank Transfer
5026,2023-01-02 01:00:00,3254,Male,53,Personal Care,Shampoo,10,37.25,372.5,B,Bank Transfer
5027,2023-01-02 02:00:00,3421,Female,37,Household,Detergent,7,107.16,750.12,A,E-Wallet
5028,2023-01-02 03:00:00,3097,Male,55,Dairy,Butter,8,50.71,405.68,A,Bank Transfer
5029,2023-01-02 04:00:00,3209,Male,50,Household,Tissue,11,114.51,1259.6100000000001,C,E-Wallet
5030,2023-01-02 05:00:00,3069,Male,27,Electronics,Earphones,2,116.4,232.8,D,Credit Card
5031,2023-01-02 06:00:00,3306,Male,52,Snacks,Cookies,5,30.75,153.75,C,Credit Card
5032,2023-01-02 07:00:00,3312,Male,69,Frozen,Frozen Pizza,1,87.57,87.57,C,Bank Transfer
5033,2023-01-02 08:00:00,3452,Male,39,Beverage,Mineral Water,5,14.71,73.55000000000001,C,E-Wallet
5034,2023-01-02 09:00:00,3003,,36,Snacks,Chips,8,108.74,869.92,B,Cash
5035,2023-01-02 10:00:00,3341,Male,59,Beverage,Juice,6,17.08,102.47999999999999,A,Credit Card
5036,2023-01-02 11:00:00,3040,Female,22,Dairy,Milk,3,16.66,49.980000000000004,C,Bank Transfer
5037,2023-01-02 12:00:00,3323,Male,55,Household,Cleaner,6,100.4,602.4000000000001,B,Bank Transfer
5038,2023-01-02 13:00:00,3085,Male,23,Electronics,USB Cable,11,24.24,266.64,B,Bank Transfer
5039,2023-01-02 14:00:00,3048,Male,69,Electronics,Earphones,5,56.92,284.6,A,Bank Transfer
5040,2023-01-02 15:00:00,3446,Male,17,Snacks,Nuts,11,25.58,281.38,C,E-Wallet
5041,2023-01-02 16:00:00,3177,,35,Personal Care,Toothpaste,1,76.67,76.67,D,Credit Card
5042,2023-01-02 17:00:00,3136,Female,37,Household,Cleaner,7,84.82,593.74,D,Credit Card
5043,2023-01-02 18:00:00,3362,Male,46,Household,Detergent,9,51.05,459.45,B,Credit Card
5044,2023-01-02 19:00:00,3100,Female,39,Beverage,Energy Drink,8,88.5,708.0,C,Bank Transfer
5045,2023-01-02 20:00:00,3381,Male,18,Snacks,Nuts,8,14.16,113.28,B,Bank Transfer
5046,2023-01-02 21:00:00,3349,Male,26,Personal Care,Toothpaste,4,103.14,412.56,C,E-Wallet
5047,2023-01-02 22:00:00,3181,Female,58,Beverage,Mineral Water,2,88.05,176.1,A,Bank Transfer
5048,2023-01-02 23:00:00,3359,Female,63,Beverage,Energy Drink,7,19.95,139.65,D,Bank Transfer
5049,2023-01-03 00:00:00,3354,Female,52,Snacks,Crackers,9,26.16,235.44,D,Cash
5050,2023-01-03 01:00:00,3214,Female,66,Beverage,Soft Drink,3,44.23,132.69,B,E-Wallet
5051,2023-01-03 02:00:00,3119,Female,32,Electronics,Phone Case,10,78.82,788.1999999999999,C,E-Wallet
5052,2023-01-03 03:00:00,3351,Male,43,Dairy,Butter,9,84.76,762.84,B,Cash
5053,2023-01-03 04:00:00,3412,Male,60,Electronics,Earphones,7,112.34,786.38,B,E-Wallet
5054,2023-01-03 05:00:00,3291,Female,58,Snacks,Cookies,2,41.51,83.02,D,Credit Card
5055,2023-01-03 06:00:00,3482,Female,60,Dairy,Butter,1,49.56,49.56,D,E-Wallet
5056,2023-01-03 07:00:00,3077,Female,64,Beverage,Soft Drink,9,84.73,762.57,C,E-Wallet
5057,2023-01-03 08:00:00,3169,,44,Snacks,Nuts,10,44.62,446.2,C,Credit Card
5058,2023-01-03 09:00:00,3388,Male,43,Beverage,Energy Drink,1,82.24,82.24,A,Bank Transfer
5059,2023-01-03 10:00:00,3107,Female,27,Electronics,USB Cable,5,67.57,337.84999999999997,A,Cash
5060,2023-01-03 11:00:00,3326,Female,32,Dairy,Cheese,4,18.65,74.6,B,Bank Transfer
5061,2023-01-03 12:00:00,3065,Male,25,Personal Care,Lotion,11,50.44,554.8399999999999,B,Credit Card
5062,2023-01-03 13:00:00,3332,Male,39,Electronics,Phone Case,3,5.86,17.580000000000002,B,Bank Transfer
5063,2023-01-03 14:00:00,3419,Female,22,Snacks,Cookies,5,96.59,482.95000000000005,C,Bank Transfer
5064,2023-01-03 15:00:00,3315,Male,34,Household,Tissue,2,112.83,225.66,B,Bank Transfer
5065,2023-01-03 16:00:00,3395,Female,61,Frozen,Frozen Pizza,1,105.8,105.8,B,Cash
5066,2023-01-03 17:00:00,3279,Male,53,Snacks,Chips,3,49.37,148.10999999999999,C,Credit Card
5067,2023-01-03 18:00:00,3206,Female,57,Dairy,Butter,2,24.44,48.88,D,Credit Card
5068,2023-01-03 19:00:00,3147,Female,16,Household,Detergent,10,48.44,484.4,A,Bank Transfer
5069,2023-01-03 20:00:00,3485,Male,37,Beverage,Juice,10,33.02,330.20000000000005,B,Credit Card
5070,2023-01-03 21:00:00,3272,Female,32,Snacks,Crackers,11,113.89,1252.79,B,Cash
5071,2023-01-03 22:00:00,3492,Male,52,Beverage,Soft Drink,9,74.69,672.21,A,Bank Transfer
5072,2023-01-03 23:00:00,3412,Female,52,Beverage,Soft Drink,7,60.13,420.91,A,Credit Card
5073,2023-01-04 00:00:00,3254,Female,65,Personal Care,Soap,10,66.6,666.0,B,Cash
5074,2023-01-04 01:00:00,3493,Female,68,Beverage,Energy Drink,7,18.69,130.83,D,E-Wallet
